precinct,dist10,dist12
271370625,05B,06A
271370630,05B,06A
271370635,05B,06A
271370640,05B,06A
271370645,05B,06A
271370650,05B,06A
271370655,05B,06A
271370660,05B,06A
271370665,05B,06A
271370750,05B,06B
271370760,05B,06B
271370775,05B,06A
271370795,05B,06B
271370800,05B,06B
271370840,05B,06B
271370845,05B,06B
271370855,05B,06B
271370857,05B,06B
271370890,05B,06A
271370920,05B,03B
271370935,05B,06A
271370945,05B,06A
271370950,05B,06B
271370965,05B,06A
271371030,05B,06A
271371155,05B,06B
270310005,06A,03A
270310010,06A,03A
270310015,06A,03A
270310020,06A,03A
270310025,06A,03A
270310030,06A,03A
270310035,06A,03A
270310040,06A,03A
270310045,06A,03A
270310050,06A,03A
270310055,06A,03A
270310060,06A,03A
270750005,06A,03A
270750010,06A,03A
270750020,06A,03A
270750025,06A,03A
270750035,06A,03A
270750040,06A,03A
270750050,06A,03A
270750060,06A,03A
270750065,06A,03A
270750070,06A,03B
270750080,06A,03B
270750090,06A,03B
270750105,06A,03B
270750110,06A,03A
270750115,06A,03B
270750120,06A,03B
270750125,06A,03A
270750130,06A,03A
271370015,06A,03A
271370030,06A,03A
271370035,06A,03A
271370045,06A,03A
271370050,06A,03A
271370065,06A,03A
271370066,06A,03A
271370125,06A,03A
271370133,06A,03A
271370435,06A,03B
271370437,06A,03A
271370450,06A,03A
271370505,06A,03A
271370515,06A,03A
271370565,06A,03A
271370585,06A,03A
271370770,06A,03B
271370780,06A,03A
271370790,06A,03A
271370815,06A,03A
271370821,06A,03A
271370850,06A,03B
271370852,06A,03A
271370860,06A,03A
271370865,06A,03A
271370875,06A,03A
271370885,06A,03A
271370886,06A,03A
271370940,06A,03A
271370975,06A,03A
271370990,06A,03A
271370999,06A,03A
271371000,06A,03A
271371001,06A,03A
271371002,06A,03A
271371005,06A,03A
271371011,06A,03A
271371140,06A,03A
271371145,06A,03A
271371160,06A,03A
270170135,06B,11A
270170160,06B,11A
270170165,06B,11A
271370085,06B,03B
271370195,06B,03B
271370260,06B,07B
271370265,06B,03B
271370270,06B,07B
271370305,06B,07B
271370595,06B,03B
271370600,06B,03B
271370605,06B,03B
271370805,06B,03B
271370895,06B,03B
271370910,06B,03B
271370140,07A,07A
271370145,07A,07A
271370150,07A,07A
271370155,07A,07A
271370160,07A,07A
271370165,07A,07A
271370170,07A,07A
271370175,07A,07A
271370180,07A,07A
271370190,07A,07A
271370200,07A,07A
271370205,07A,07A
271370215,07A,07A
271370220,07A,07B
271370225,07A,07B
271370210,07B,07A
271370230,07B,07A
271370235,07B,07A
271370240,07B,07B
271370245,07B,07B
271370250,07B,07B
271370255,07B,07B
271370275,07B,07B
271370280,07B,07B
271370285,07B,07B
271370290,07B,07B
271370295,07B,07B
271370300,07B,07B
271370315,07B,07B
271370320,07B,07B
271370325,07B,07B
270170005,08A,11A
270170010,08A,11A
270170015,08A,11A
270170020,08A,11A
270170025,08A,11A
270170030,08A,11A
270170035,08A,11A
270170040,08A,11A
270170045,08A,11A
270170050,08A,11A
270170055,08A,11A
270170060,08A,11A
270170065,08A,11A
270170068,08A,11A
270170070,08A,11A
270170075,08A,11A
270170080,08A,11A
270170085,08A,11A
270170090,08A,11A
270170095,08A,11A
270170100,08A,11A
270170105,08A,11A
270170110,08A,11A
270170115,08A,11A
270170118,08A,11A
270170120,08A,11A
270170125,08A,11A
270170130,08A,11A
270170140,08A,11A
270170145,08A,11A
270170150,08A,11A
270170155,08A,11A
270170170,08A,11A
270170175,08A,11A
270170180,08A,11A
270170185,08A,11A
271370025,08A,11A
271370070,08A,11A
271370075,08A,11A
271150010,08A,11B
271150015,08A,11B
271150025,08A,11B
271150030,08A,11B
271150045,08A,11B
271150050,08A,11B
271150060,08A,11B
271150065,08A,11B
271150070,08A,11B
271150080,08A,11B
271150085,08A,11B
271150090,08A,11B
271150095,08A,11B
271150115,08A,11B
271150120,08A,11A
271150125,08A,11B
271150145,08A,11B
271150150,08A,11B
271150155,08A,11B
271150160,08A,11B
271150165,08A,11B
271150170,08A,11B
271150190,08A,11B
271150207,08A,11B
271150221,08A,11B
271150225,08A,11B
271150230,08A,11B
271150235,08A,11B
271150240,08A,11A
271370135,08A,11A
271370925,08A,11A
270650005,08B,15A
270650010,08B,11B
270650015,08B,11B
270650020,08B,11B
270650025,08B,11B
270650030,08B,15A
270650035,08B,11B
270650040,08B,11B
270650045,08B,15A
270650050,08B,15A
270650055,08B,15A
270650060,08B,11B
270650065,08B,11B
270650070,08B,11B
270650080,08B,15A
270650085,08B,15A
270590015,08B,32A
270590030,08B,32A
270590045,08B,32A
270590070,08B,32A
270650090,08B,11B
270650095,08B,11B
270650100,08B,15A
270650105,08B,11B
271150005,08B,11B
271150020,08B,11B
271150035,08B,11B
271150040,08B,11B
271150055,08B,11B
271150075,08B,11B
271150100,08B,11B
271150105,08B,11B
271150110,08B,11B
271150135,08B,11B
271150140,08B,11B
271150175,08B,11B
271150185,08B,11B
271150195,08B,11B
271150200,08B,11B
271150205,08B,11B
271150210,08B,11B
271150215,08B,11B
270270060,09A,04B
270270065,09A,04B
270270070,09A,04B
270270075,09A,04B
270270080,09A,04B
270270100,09A,04B
270270140,09A,04B
270270150,09A,04B
270270155,09A,04A
270270160,09A,04A
270270165,09A,04A
270270170,09A,04A
270270175,09A,04A
270270180,09A,04A
270270185,09A,04A
270270190,09A,04A
270270195,09A,04A
270270200,09A,04A
270270205,09A,04A
270270210,09A,04A
270270220,09A,04B
270270225,09A,04A
270270250,09A,04B
270270260,09A,04B
270270265,09A,04B
270270270,09A,04B
270050040,09B,04B
270050065,09B,04B
270050125,09B,04B
270050140,09B,04B
270270005,09B,04B
270270010,09B,04B
270270015,09B,04B
270270020,09B,04B
270270025,09B,04B
270270030,09B,04B
270270035,09B,04B
270270040,09B,04B
270270045,09B,04B
270270050,09B,04B
